expected,acc,given,rt,subj,folder,item,dependency
l,1,l,2559,1,10.3,18,adjacent
k,0,l,712,1,10.3,15,adjacent
k,0,l,111,1,10.3,10,non-adjacent
k,0,l,683,1,10.3,6,non-adjacent
l,1,l,899,1,10.3,16,adjacent
l,1,l,374,1,10.3,3,non-adjacent
l,1,l,760,1,10.3,5,non-adjacent
k,1,k,1819,1,10.3,19,adjacent
l,0,k,2849,1,10.3,1,non-adjacent
k,0,l,2887,1,10.3,13,adjacent
l,1,l,2163,1,10.3,7,non-adjacent
k,0,l,1428,1,10.3,11,adjacent
k,0,l,1568,1,10.3,4,non-adjacent
k,0,l,1250,1,10.3,8,non-adjacent
l,1,l,649,1,10.3,14,adjacent
k,0,l,1342,1,10.3,2,non-adjacent
l,1,l,954,1,10.3,9,non-adjacent
l,1,l,1110,1,10.3,20,adjacent
k,0,l,1419,1,10.3,17,adjacent
l,1,l,763,1,10.3,12,adjacent
l,0,k,432,11,10.3,12,adjacent
k,0,l,2072,11,10.3,6,non-adjacent
l,1,l,238,11,10.3,7,non-adjacent
k,0,l,1180,11,10.3,8,non-adjacent
l,1,l,959,11,10.3,5,non-adjacent
k,1,k,1038,11,10.3,2,non-adjacent
l,0,k,2085,11,10.3,18,adjacent
k,1,k,1266,11,10.3,11,adjacent
k,1,k,1592,11,10.3,19,adjacent
k,0,l,1528,11,10.3,4,non-adjacent
l,0,k,404,11,10.3,1,non-adjacent
l,1,l,893,11,10.3,14,adjacent
l,1,l,666,11,10.3,9,non-adjacent
k,1,k,649,11,10.3,15,adjacent
l,0,k,497,11,10.3,16,adjacent
l,1,l,895,11,10.3,20,adjacent
k,1,k,572,11,10.3,17,adjacent
l,0,k,534,11,10.3,3,non-adjacent
k,0,l,475,11,10.3,10,non-adjacent
k,1,k,1082,11,10.3,13,adjacent
k,0,l,342,13,10.3,4,non-adjacent
l,1,l,595,13,10.3,7,non-adjacent
k,0,l,445,13,10.3,10,non-adjacent
l,1,l,421,13,10.3,20,adjacent
k,0,l,374,13,10.3,11,adjacent
l,1,l,554,13,10.3,5,non-adjacent
k,0,l,606,13,10.3,17,adjacent
l,1,l,511,13,10.3,18,adjacent
k,0,l,853,13,10.3,6,non-adjacent
l,1,l,916,13,10.3,12,adjacent
k,0,l,416,13,10.3,2,non-adjacent
l,0,k,1128,13,10.3,14,adjacent
l,1,l,845,13,10.3,16,adjacent
l,1,l,919,13,10.3,9,non-adjacent
l,1,l,419,13,10.3,1,non-adjacent
k,0,l,1421,13,10.3,8,non-adjacent
k,0,l,302,13,10.3,15,adjacent
l,0,k,476,13,10.3,3,non-adjacent
k,0,l,723,13,10.3,13,adjacent
k,0,l,703,13,10.3,19,adjacent
k,1,k,15273,15,10.3,13,adjacent
l,1,l,4259,15,10.3,18,adjacent
k,0,l,535,15,10.3,19,adjacent
l,0,k,284,15,10.3,5,non-adjacent
l,1,l,2882,15,10.3,12,adjacent
l,0,k,311,15,10.3,1,non-adjacent
l,1,l,1883,15,10.3,3,non-adjacent
k,1,k,280,15,10.3,4,non-adjacent
l,0,k,911,15,10.3,7,non-adjacent
k,1,k,260,15,10.3,10,non-adjacent
l,1,l,243,15,10.3,14,adjacent
l,0,k,1219,15,10.3,9,non-adjacent
k,1,k,253,15,10.3,8,non-adjacent
l,1,l,204,15,10.3,16,adjacent
k,0,l,4031,15,10.3,15,adjacent
l,0,k,243,15,10.3,20,adjacent
k,0,l,1036,15,10.3,2,non-adjacent
k,1,k,770,15,10.3,6,non-adjacent
k,1,k,845,15,10.3,11,adjacent
k,1,k,3124,15,10.3,17,adjacent
l,0,k,1318,17,10.3,3,non-adjacent
l,1,l,423,17,10.3,5,non-adjacent
l,1,l,413,17,10.3,12,adjacent
k,0,l,700,17,10.3,4,non-adjacent
k,1,k,2608,17,10.3,15,adjacent
l,0,k,493,17,10.3,20,adjacent
k,0,l,431,17,10.3,13,adjacent
l,0,k,478,17,10.3,16,adjacent
l,1,l,1282,17,10.3,1,non-adjacent
l,0,k,861,17,10.3,9,non-adjacent
k,1,k,338,17,10.3,19,adjacent
l,0,k,467,17,10.3,14,adjacent
k,0,l,552,17,10.3,2,non-adjacent
l,0,k,546,17,10.3,18,adjacent
k,0,l,924,17,10.3,8,non-adjacent
k,1,k,605,17,10.3,11,adjacent
l,1,l,444,17,10.3,7,non-adjacent
k,1,k,497,17,10.3,10,non-adjacent
k,0,l,300,17,10.3,17,adjacent
k,1,k,448,17,10.3,6,non-adjacent
l,1,l,341,19,10.3,18,adjacent
l,0,k,1817,19,10.3,9,non-adjacent
l,0,k,232,19,10.3,5,non-adjacent
l,0,k,648,19,10.3,14,adjacent
k,1,k,327,19,10.3,15,adjacent
k,0,l,1380,19,10.3,4,non-adjacent
k,0,l,2173,19,10.3,6,non-adjacent
k,1,k,620,19,10.3,10,non-adjacent
k,1,k,540,19,10.3,19,adjacent
k,1,k,504,19,10.3,2,non-adjacent
l,1,l,214,19,10.3,7,non-adjacent
l,0,k,247,19,10.3,16,adjacent
k,1,k,911,19,10.3,13,adjacent
l,1,l,2220,19,10.3,20,adjacent
l,0,k,1915,19,10.3,12,adjacent
k,1,k,1062,19,10.3,17,adjacent
l,1,l,709,19,10.3,1,non-adjacent
l,1,l,787,19,10.3,3,non-adjacent
k,1,k,541,19,10.3,8,non-adjacent
k,1,k,224,19,10.3,11,adjacent
l,1,l,6833,21,10.3,5,non-adjacent
l,1,l,2108,21,10.3,16,adjacent
k,0,l,3974,21,10.3,10,non-adjacent
l,1,l,2053,21,10.3,12,adjacent
k,0,l,2411,21,10.3,13,adjacent
l,1,l,779,21,10.3,18,adjacent
k,0,l,709,21,10.3,17,adjacent
k,0,l,2697,21,10.3,2,non-adjacent
k,0,l,1092,21,10.3,8,non-adjacent
l,1,l,1169,21,10.3,7,non-adjacent
k,0,l,1219,21,10.3,15,adjacent
k,0,l,2235,21,10.3,11,adjacent
l,1,l,9162,21,10.3,3,non-adjacent
l,1,l,734,21,10.3,9,non-adjacent
l,1,l,1145,21,10.3,1,non-adjacent
l,1,l,828,21,10.3,20,adjacent
k,0,l,764,21,10.3,4,non-adjacent
k,0,l,14318,21,10.3,19,adjacent
k,0,l,12734,21,10.3,6,non-adjacent
l,1,l,935,21,10.3,14,adjacent
l,1,l,6550,23,10.3,3,non-adjacent
k,1,k,2329,23,10.3,11,adjacent
l,0,k,16625,23,10.3,5,non-adjacent
k,1,k,878,23,10.3,10,non-adjacent
l,1,l,104,23,10.3,18,adjacent
k,1,k,863,23,10.3,6,non-adjacent
l,1,l,202,23,10.3,20,adjacent
l,1,l,1091,23,10.3,14,adjacent
k,1,k,2294,23,10.3,19,adjacent
l,1,l,3450,23,10.3,1,non-adjacent
l,0,k,1018,23,10.3,9,non-adjacent
k,1,k,565,23,10.3,15,adjacent
l,0,k,578,23,10.3,16,adjacent
l,0,k,756,23,10.3,7,non-adjacent
k,1,k,2207,23,10.3,17,adjacent
k,1,k,442,23,10.3,8,non-adjacent
l,1,l,517,23,10.3,12,adjacent
k,0,l,592,23,10.3,4,non-adjacent
k,1,k,1896,23,10.3,2,non-adjacent
k,1,k,582,23,10.3,13,adjacent
k,0,l,3426,25,10.3,19,adjacent
l,1,l,1033,25,10.3,3,non-adjacent
k,0,l,6025,25,10.3,6,non-adjacent
k,0,l,2059,25,10.3,4,non-adjacent
l,1,l,2102,25,10.3,18,adjacent
k,1,k,5023,25,10.3,8,non-adjacent
k,1,k,2328,25,10.3,11,adjacent
l,1,l,306,25,10.3,20,adjacent
l,1,l,2372,25,10.3,12,adjacent
l,1,l,1786,25,10.3,1,non-adjacent
k,0,l,2304,25,10.3,15,adjacent
k,0,l,778,25,10.3,2,non-adjacent
k,1,k,932,25,10.3,13,adjacent
k,0,l,866,25,10.3,17,adjacent
l,1,l,1021,25,10.3,16,adjacent
k,0,l,691,25,10.3,10,non-adjacent
l,1,l,2693,25,10.3,7,non-adjacent
l,1,l,1877,25,10.3,9,non-adjacent
l,1,l,1794,25,10.3,5,non-adjacent
l,1,l,1758,25,10.3,14,adjacent
l,1,l,666,27,10.3,12,adjacent
k,1,k,382,27,10.3,15,adjacent
k,1,k,428,27,10.3,4,non-adjacent
k,0,l,434,27,10.3,17,adjacent
k,1,k,567,27,10.3,6,non-adjacent
k,0,l,846,27,10.3,2,non-adjacent
l,0,k,823,27,10.3,5,non-adjacent
k,0,l,460,27,10.3,8,non-adjacent
l,0,k,1154,27,10.3,18,adjacent
k,0,l,443,27,10.3,10,non-adjacent
l,0,k,519,27,10.3,16,adjacent
l,0,k,433,27,10.3,14,adjacent
l,0,k,792,27,10.3,9,non-adjacent
k,0,l,575,27,10.3,13,adjacent
k,0,l,532,27,10.3,19,adjacent
k,1,k,1413,27,10.3,11,adjacent
l,0,k,683,27,10.3,7,non-adjacent
l,1,l,589,27,10.3,3,non-adjacent
l,0,k,357,27,10.3,1,non-adjacent
l,0,k,7412,27,10.3,20,adjacent
l,1,l,1500,29,10.3,18,adjacent
k,0,l,877,29,10.3,2,non-adjacent
k,0,l,376,29,10.3,8,non-adjacent
l,0,k,809,29,10.3,7,non-adjacent
l,1,l,359,29,10.3,5,non-adjacent
k,0,l,350,29,10.3,11,adjacent
l,0,k,161,29,10.3,12,adjacent
k,1,k,249,29,10.3,17,adjacent
l,1,l,391,29,10.3,14,adjacent
l,0,k,613,29,10.3,9,non-adjacent
l,0,k,420,29,10.3,20,adjacent
l,1,l,697,29,10.3,16,adjacent
k,1,k,317,29,10.3,19,adjacent
l,0,k,255,29,10.3,3,non-adjacent
k,0,l,419,29,10.3,10,non-adjacent
l,1,l,537,29,10.3,1,non-adjacent
k,0,l,217,29,10.3,15,adjacent
k,1,k,297,29,10.3,6,non-adjacent
k,1,k,435,29,10.3,13,adjacent
k,1,k,376,29,10.3,4,non-adjacent
l,0,K,3581,3,10.3,9,non-adjacent
k,1,K,479,3,10.3,19,adjacent
l,1,L,1718,3,10.3,16,adjacent
k,1,K,769,3,10.3,10,non-adjacent
l,0,K,788,3,10.3,3,non-adjacent
k,0,L,2786,3,10.3,6,non-adjacent
k,0,L,10,3,10.3,13,adjacent
l,1,L,697,3,10.3,12,adjacent
k,0,L,242,3,10.3,17,adjacent
l,0,K,182,3,10.3,5,non-adjacent
l,0,K,365,3,10.3,1,non-adjacent
k,0,L,3163,3,10.3,11,adjacent
l,1,L,442,3,10.3,20,adjacent
l,0,K,27,3,10.3,7,non-adjacent
k,0,L,284,3,10.3,8,non-adjacent
k,1,K,51,3,10.3,2,non-adjacent
l,1,L,2009,3,10.3,14,adjacent
k,0,L,112,3,10.3,15,adjacent
k,1,K,919,3,10.3,4,non-adjacent
l,1,L,938,3,10.3,18,adjacent
k,1,k,3310,31,10.3,19,adjacent
l,1,l,1278,31,10.3,5,non-adjacent
l,0,k,1413,31,10.3,16,adjacent
k,0,l,14150,31,10.3,6,non-adjacent
l,0,k,1182,31,10.3,3,non-adjacent
k,0,l,2625,31,10.3,10,non-adjacent
k,1,k,1249,31,10.3,2,non-adjacent
l,1,l,1337,31,10.3,14,adjacent
l,0,k,1982,31,10.3,18,adjacent
k,1,k,1346,31,10.3,13,adjacent
l,0,k,1452,31,10.3,7,non-adjacent
k,1,k,1396,31,10.3,8,non-adjacent
k,1,k,1190,31,10.3,15,adjacent
l,1,l,1162,31,10.3,9,non-adjacent
l,1,l,1013,31,10.3,1,non-adjacent
l,0,k,559,31,10.3,20,adjacent
k,1,k,885,31,10.3,4,non-adjacent
l,1,l,788,31,10.3,12,adjacent
k,1,k,4143,31,10.3,17,adjacent
k,0,l,3305,31,10.3,11,adjacent
l,0,k,3722,33,10.3,20,adjacent
k,1,k,1429,33,10.3,4,non-adjacent
k,1,k,829,33,10.3,17,adjacent
l,0,k,653,33,10.3,14,adjacent
k,1,k,886,33,10.3,10,non-adjacent
k,0,l,33157,33,10.3,15,adjacent
l,1,l,8352,33,10.3,5,non-adjacent
l,0,k,757,33,10.3,7,non-adjacent
l,0,k,1592,33,10.3,16,adjacent
l,1,l,627,33,10.3,9,non-adjacent
k,0,l,1190,33,10.3,19,adjacent
l,0,k,379,33,10.3,3,non-adjacent
k,0,l,951,33,10.3,8,non-adjacent
l,0,k,451,33,10.3,1,non-adjacent
k,0,l,2453,33,10.3,13,adjacent
k,1,k,548,33,10.3,2,non-adjacent
k,1,k,1001,33,10.3,6,non-adjacent
l,1,l,699,33,10.3,12,adjacent
k,1,k,531,33,10.3,11,adjacent
l,1,l,426,33,10.3,18,adjacent
l,0,k,3140,35,10.3,9,non-adjacent
l,1,l,775,35,10.3,7,non-adjacent
k,1,k,1122,35,10.3,19,adjacent
k,0,l,2279,35,10.3,2,non-adjacent
l,0,k,4309,35,10.3,5,non-adjacent
k,1,k,807,35,10.3,4,non-adjacent
l,0,k,642,35,10.3,18,adjacent
l,1,l,849,35,10.3,1,non-adjacent
l,1,l,1202,35,10.3,20,adjacent
l,0,k,1042,35,10.3,16,adjacent
l,1,l,3668,35,10.3,12,adjacent
k,1,k,1041,35,10.3,15,adjacent
k,1,k,937,35,10.3,17,adjacent
l,1,l,1094,35,10.3,3,non-adjacent
k,0,l,2252,35,10.3,8,non-adjacent
l,0,k,2163,35,10.3,14,adjacent
k,1,k,2454,35,10.3,10,non-adjacent
k,1,k,3628,35,10.3,11,adjacent
k,1,k,898,35,10.3,6,non-adjacent
k,1,k,576,35,10.3,13,adjacent
k,1,k,9956,37,10.3,2,non-adjacent
k,0,l,1472,37,10.3,13,adjacent
k,1,k,5079,37,10.3,8,non-adjacent
l,1,l,1131,37,10.3,9,non-adjacent
l,0,k,1113,37,10.3,14,adjacent
k,1,k,1591,37,10.3,10,non-adjacent
k,1,k,760,37,10.3,19,adjacent
k,0,l,157,37,10.3,6,non-adjacent
l,1,l,2073,37,10.3,1,non-adjacent
k,1,k,1400,37,10.3,11,adjacent
k,1,k,531,37,10.3,4,non-adjacent
k,0,l,504,37,10.3,15,adjacent
l,0,k,247,37,10.3,18,adjacent
l,0,k,232,37,10.3,16,adjacent
l,1,l,681,37,10.3,7,non-adjacent
l,0,k,1709,37,10.3,12,adjacent
l,0,k,2898,37,10.3,5,non-adjacent
k,0,l,88,37,10.3,17,adjacent
l,0,k,1952,37,10.3,20,adjacent
l,1,l,4572,37,10.3,3,non-adjacent
l,1,l,4509,39,10.3,9,non-adjacent
k,0,l,4822,39,10.3,15,adjacent
l,1,l,1150,39,10.3,18,adjacent
k,1,k,264,39,10.3,19,adjacent
l,0,k,566,39,10.3,7,non-adjacent
k,0,l,673,39,10.3,2,non-adjacent
l,0,k,387,39,10.3,16,adjacent
l,0,k,278,39,10.3,12,adjacent
k,0,l,235,39,10.3,13,adjacent
l,1,l,186,39,10.3,14,adjacent
l,0,k,456,39,10.3,5,non-adjacent
k,1,k,217,39,10.3,17,adjacent
l,0,k,154,39,10.3,20,adjacent
k,0,l,149,39,10.3,4,non-adjacent
l,1,l,213,39,10.3,3,non-adjacent
l,0,k,254,39,10.3,1,non-adjacent
k,1,k,53,39,10.3,10,non-adjacent
k,0,l,550,39,10.3,6,non-adjacent
k,1,k,99,39,10.3,11,adjacent
k,1,k,113,39,10.3,8,non-adjacent
k,1,k,1972,41,10.3,10,non-adjacent
k,0,l,1028,41,10.3,19,adjacent
l,0,k,1677,41,10.3,20,adjacent
k,1,k,440,41,10.3,11,adjacent
l,0,k,449,41,10.3,16,adjacent
l,1,l,1302,41,10.3,12,adjacent
k,1,k,875,41,10.3,17,adjacent
k,0,l,1954,41,10.3,2,non-adjacent
l,1,l,725,41,10.3,9,non-adjacent
l,0,k,5,41,10.3,14,adjacent
k,1,k,91,41,10.3,6,non-adjacent
l,0,k,722,41,10.3,18,adjacent
k,1,k,463,41,10.3,4,non-adjacent
l,0,k,415,41,10.3,3,non-adjacent
k,0,l,776,41,10.3,15,adjacent
l,1,l,2524,41,10.3,7,non-adjacent
k,1,k,1975,41,10.3,8,non-adjacent
l,0,k,358,41,10.3,5,non-adjacent
k,1,k,1154,41,10.3,13,adjacent
l,1,l,2014,41,10.3,1,non-adjacent
l,1,l,1423,43,10.3,7,non-adjacent
l,0,k,442,43,10.3,3,non-adjacent
k,1,k,410,43,10.3,13,adjacent
l,0,k,594,43,10.3,14,adjacent
k,1,k,572,43,10.3,8,non-adjacent
l,1,l,471,43,10.3,9,non-adjacent
k,0,l,398,43,10.3,2,non-adjacent
k,1,k,328,43,10.3,6,non-adjacent
k,0,l,344,43,10.3,15,adjacent
l,0,k,581,43,10.3,20,adjacent
k,1,k,310,43,10.3,10,non-adjacent
l,1,l,380,43,10.3,5,non-adjacent
k,0,l,367,43,10.3,11,adjacent
l,1,l,466,43,10.3,1,non-adjacent
l,0,k,273,43,10.3,16,adjacent
k,1,k,352,43,10.3,4,non-adjacent
l,0,k,242,43,10.3,12,adjacent
k,0,l,642,43,10.3,19,adjacent
k,0,l,313,43,10.3,17,adjacent
l,0,k,230,43,10.3,18,adjacent
l,0,k,15280,45,10.3,3,non-adjacent
l,1,l,2365,45,10.3,14,adjacent
k,1,k,9556,45,10.3,15,adjacent
l,1,l,1158,45,10.3,18,adjacent
k,0,l,411,45,10.3,4,non-adjacent
k,1,k,1489,45,10.3,10,non-adjacent
k,0,l,1410,45,10.3,19,adjacent
l,1,l,1736,45,10.3,12,adjacent
k,1,k,1610,45,10.3,8,non-adjacent
l,0,k,889,45,10.3,5,non-adjacent
l,0,k,1566,45,10.3,16,adjacent
k,0,l,2118,45,10.3,2,non-adjacent
k,0,l,1386,45,10.3,17,adjacent
l,0,k,489,45,10.3,20,adjacent
k,0,l,1774,45,10.3,6,non-adjacent
l,0,k,1128,45,10.3,1,non-adjacent
k,1,k,1743,45,10.3,11,adjacent
k,0,l,1430,45,10.3,13,adjacent
l,1,l,1453,45,10.3,9,non-adjacent
l,0,k,981,45,10.3,7,non-adjacent
k,0,l,15093,47,10.3,17,adjacent
l,1,l,542,47,10.3,9,non-adjacent
l,0,k,2978,47,10.3,7,non-adjacent
l,0,k,1184,47,10.3,5,non-adjacent
k,0,l,5424,47,10.3,19,adjacent
k,0,l,612,47,10.3,6,non-adjacent
l,1,l,2197,47,10.3,18,adjacent
k,0,l,1076,47,10.3,4,non-adjacent
l,0,k,1002,47,10.3,20,adjacent
l,0,k,1132,47,10.3,14,adjacent
k,1,k,421,47,10.3,2,non-adjacent
l,1,l,3024,47,10.3,16,adjacent
k,1,k,422,47,10.3,11,adjacent
k,1,k,2304,47,10.3,10,non-adjacent
l,1,l,2259,47,10.3,1,non-adjacent
k,1,k,488,47,10.3,13,adjacent
l,0,k,1885,47,10.3,12,adjacent
k,1,k,419,47,10.3,8,non-adjacent
k,1,k,443,47,10.3,15,adjacent
l,0,k,457,47,10.3,3,non-adjacent
l,0,k,4041,49,10.3,9,non-adjacent
k,1,k,1701,49,10.3,15,adjacent
k,0,l,634,49,10.3,17,adjacent
l,0,k,705,49,10.3,5,non-adjacent
k,0,l,1254,49,10.3,13,adjacent
l,1,l,413,49,10.3,16,adjacent
k,1,k,791,49,10.3,2,non-adjacent
k,1,k,1224,49,10.3,19,adjacent
k,1,k,505,49,10.3,10,non-adjacent
k,0,l,702,49,10.3,11,adjacent
l,0,k,683,49,10.3,18,adjacent
k,0,l,881,49,10.3,6,non-adjacent
l,0,k,272,49,10.3,12,adjacent
l,1,l,1439,49,10.3,20,adjacent
k,0,l,502,49,10.3,4,non-adjacent
k,1,k,786,49,10.3,8,non-adjacent
l,0,k,3077,49,10.3,1,non-adjacent
l,0,k,512,49,10.3,14,adjacent
l,0,k,326,49,10.3,7,non-adjacent
l,1,l,378,49,10.3,3,non-adjacent
l,0,k,57,5,10.3,18,adjacent
k,0,l,751,5,10.3,2,non-adjacent
k,1,k,178,5,10.3,19,adjacent
l,0,k,524,5,10.3,1,non-adjacent
k,0,l,660,5,10.3,15,adjacent
k,0,l,1422,5,10.3,10,non-adjacent
k,1,k,35,5,10.3,6,non-adjacent
l,1,l,541,5,10.3,5,non-adjacent
k,1,k,323,5,10.3,4,non-adjacent
l,1,l,1003,5,10.3,16,adjacent
k,1,k,100,5,10.3,8,non-adjacent
k,1,k,106,5,10.3,11,adjacent
l,1,l,399,5,10.3,7,non-adjacent
k,1,k,1147,5,10.3,17,adjacent
l,1,l,265,5,10.3,12,adjacent
l,1,l,850,5,10.3,9,non-adjacent
l,0,k,65,5,10.3,14,adjacent
l,0,k,595,5,10.3,20,adjacent
l,0,k,98,5,10.3,3,non-adjacent
k,0,l,248,5,10.3,13,adjacent
k,1,k,510,7,10.3,11,adjacent
l,0,k,2642,7,10.3,1,non-adjacent
k,0,l,507,7,10.3,6,non-adjacent
l,0,k,1750,7,10.3,5,non-adjacent
k,0,l,1544,7,10.3,4,non-adjacent
l,1,l,434,7,10.3,12,adjacent
l,0,k,270,7,10.3,18,adjacent
l,1,l,560,7,10.3,20,adjacent
l,0,k,1804,7,10.3,9,non-adjacent
k,0,l,493,7,10.3,8,non-adjacent
k,1,k,320,7,10.3,15,adjacent
k,1,k,583,7,10.3,19,adjacent
k,1,k,2070,7,10.3,2,non-adjacent
k,1,k,592,7,10.3,17,adjacent
l,0,k,1209,7,10.3,7,non-adjacent
k,0,l,311,7,10.3,10,non-adjacent
l,0,k,527,7,10.3,14,adjacent
l,1,l,478,7,10.3,3,non-adjacent
l,0,k,350,7,10.3,16,adjacent
k,1,k,692,7,10.3,13,adjacent
k,0,l,6394,9,10.3,4,non-adjacent
l,0,k,1286,9,10.3,1,non-adjacent
k,0,l,1211,9,10.3,15,adjacent
k,0,l,37,9,10.3,8,non-adjacent
l,0,k,965,9,10.3,7,non-adjacent
l,1,l,3119,9,10.3,9,non-adjacent
l,0,k,354,9,10.3,5,non-adjacent
l,1,l,508,9,10.3,12,adjacent
l,1,l,2369,9,10.3,18,adjacent
l,0,k,1002,9,10.3,16,adjacent
l,0,k,347,9,10.3,3,non-adjacent
k,0,l,430,9,10.3,13,adjacent
l,0,k,478,9,10.3,20,adjacent
k,0,l,836,9,10.3,19,adjacent
k,1,k,436,9,10.3,6,non-adjacent
k,1,k,683,9,10.3,10,non-adjacent
k,0,l,520,9,10.3,2,non-adjacent
l,0,k,324,9,10.3,14,adjacent
k,1,k,273,9,10.3,17,adjacent
k,0,l,352,9,10.3,11,adjacent
l,1,l,1835,10,10.7,8,non-adjacent
l,1,l,558,10,10.7,17,adjacent
k,0,l,616,10,10.7,3,non-adjacent
k,0,l,869,10,10.7,1,non-adjacent
k,1,k,505,10,10.7,18,adjacent
k,0,l,508,10,10.7,16,adjacent
l,1,l,510,10,10.7,6,non-adjacent
l,0,k,655,10,10.7,11,adjacent
l,1,l,236,10,10.7,13,adjacent
l,1,l,763,10,10.7,19,adjacent
l,1,l,887,10,10.7,2,non-adjacent
l,0,k,275,10,10.7,10,non-adjacent
k,0,l,649,10,10.7,5,non-adjacent
k,1,k,1511,10,10.7,12,adjacent
l,1,l,169,10,10.7,15,adjacent
k,0,l,260,10,10.7,20,adjacent
l,0,k,1594,10,10.7,4,non-adjacent
k,0,l,377,10,10.7,7,non-adjacent
k,0,l,545,10,10.7,14,adjacent
k,0,l,923,10,10.7,9,non-adjacent
l,1,l,2684,12,10.7,19,adjacent
l,0,k,1456,12,10.7,15,adjacent
k,0,l,966,12,10.7,16,adjacent
k,0,l,817,12,10.7,1,non-adjacent
k,1,k,1522,12,10.7,5,non-adjacent
l,1,l,789,12,10.7,6,non-adjacent
k,1,k,655,12,10.7,18,adjacent
l,1,l,581,12,10.7,4,non-adjacent
k,1,k,1983,12,10.7,14,adjacent
l,1,l,568,12,10.7,2,non-adjacent
k,1,k,475,12,10.7,3,non-adjacent
l,0,k,826,12,10.7,10,non-adjacent
k,1,k,1210,12,10.7,7,non-adjacent
l,1,l,5289,12,10.7,17,adjacent
k,1,k,388,12,10.7,9,non-adjacent
l,0,k,1557,12,10.7,8,non-adjacent
l,1,l,751,12,10.7,11,adjacent
l,0,k,691,12,10.7,13,adjacent
k,1,k,736,12,10.7,20,adjacent
k,0,l,1269,12,10.7,12,adjacent
k,0,l,3687,14,10.7,1,non-adjacent
l,1,l,1051,14,10.7,4,non-adjacent
k,0,l,426,14,10.7,16,adjacent
k,0,l,730,14,10.7,18,adjacent
l,1,l,1471,14,10.7,17,adjacent
k,1,k,406,14,10.7,7,non-adjacent
